t,x_data,y_data,x_fit,y_fit
6.0,88.364456,57.784378,59.87530858667609,45.58948585593515
6.036024016010674,74.283936,54.40678,59.90819470692941,45.60452558822369
6.072048032021348,60.256474,46.311462,59.941117714234,45.619500342210756
6.108072048032021,82.13437,57.717567,59.97407728483248,45.63441068821041
6.144096064042695,101.03639,67.84934,60.00707309175058,45.649257202203465
6.180120080053369,69.284134,48.406086,60.04010480484785,45.664040465748066
6.216144096064043,77.81013,57.588833,60.07317209086861,45.67876106589
6.252168112074717,91.29688,63.03135,60.10627461349311,45.693419595072555
6.28819212808539,107.66841,65.91405,60.13941203338883,45.70801665104619
6.324216144096064,76.40689,56.871525,60.17258400826196,45.72255283677777
6.360240160106738,72.313515,51.168285,60.20579019290906,45.737028760359614
6.396264176117412,100.56871,68.07376,60.23903023926894,45.75144503491814
6.432288192128086,85.40742,57.31956,60.27230379647459,45.765802278522344
6.468312208138759,65.73637,47.454475,60.30561051090531,45.780101114091956
6.504336224149433,78.559,57.776672,60.338950026239004,45.79434216930534
6.540360240160107,102.01643,67.376236,60.372321983504605,45.808526076507185
6.576384256170781,92.44081,67.234024,60.40572602113457,45.822653472615976
6.6124082721814545,102.319664,67.23141,60.43916177501757,45.83672499903119
6.648432288192128,73.051186,52.32614,60.472628878551255,45.85074130154036
6.684456304202802,70.23932,48.974834,60.50612696269516,45.86470303022589
6.7204803202134755,88.56056,57.891556,60.53965565602367,45.87861083937174
6.7565043362241495,91.96877,65.819046,60.573214584779095,45.8924653873699
6.792528352234823,86.83264,57.347816,60.60680337292486,45.906267336626755
6.8285523682454965,92.62934,67.65634,60.64042164219875,45.92001735346924
6.8645763842561704,104.750336,66.19454,60.67406901216625,45.93371610805094
6.900600400266844,73.5264,53.136063,60.70774510027391,45.94736427425799
6.936624416277518,93.27278,68.66579,60.74144952190283,45.96096252961494
6.972648432288192,71.30269,49.905098,60.77518189042218,45.974511555190475
7.008672448298865,64.975815,47.35335,60.808941817242726,45.98801203550306
7.044696464309539,89.05592,58.24083,60.842728911870466,46.001464658426514
7.080720480320213,100.71979,68.00157,60.87654278196027,46.01487011509553
7.116744496330887,106.31808,65.80417,60.91038303336951,46.02822909981114
7.152768512341561,108.06331,66.10597,60.94424927021181,46.0415423099461
7.188792528352234,67.84049,47.865753,60.97814109491071,46.054810445850336
7.224816544362908,82.02788,57.731422,61.012058108253385,46.06803421075628
7.260840560373582,98.86425,68.84363,61.045999909444376,46.08121431068425
7.296864576384256,72.67582,51.715893,61.07996609615931,46.09435145434785
7.33288859239493,97.88674,69.218376,61.11395626459859,46.10744635305934
7.368912608405603,88.70565,57.981354,61.147970009541105,46.120499720635046
7.404936624416278,70.66043,49.300117,61.18200692439786,46.133512273300894
7.440960640426951,95.17704,69.66583,61.216066601265666,46.14648472959783
